,count,unique,top,freq,mean,min,25%,50%,75%,max,std
id,671205.0,,,,993248.5937336581,653047.0,823072.0,992780.0,1163653.0,1340339.0,196611.27542282842
funded_amount,671205.0,,,,785.9950611214159,0.0,250.0,450.0,900.0,100000.0,1130.3989410585289
loan_amount,671205.0,,,,842.3971066961659,25.0,275.0,500.0,1000.0,100000.0,1198.6600728834771
activity,671205,163,Farming,72955,,,,,,,
sector,671205,15,Agriculture,180302,,,,,,,
use,666973,424912,to buy a water filter to provide safe drinking water for their family.,5217,,,,,,,
country_code,671197,86,PH,160441,,,,,,,
country,671205,87,Philippines,160441,,,,,,,
region,614405,12695,Kaduna,10000,,,,,,,
currency,671205,67,PHP,160440,,,,,,,
partner_id,657698.0,,,,178.19961593314864,9.0,126.0,145.0,204.0,536.0,94.24758121597586
posted_time,671205,,,,2015-11-10 09:21:01.779441664+00:00,2014-01-01 04:49:26+00:00,2014-12-17 13:02:38+00:00,2015-11-20 15:46:13+00:00,2016-10-06 07:24:48+00:00,2017-07-26 06:31:46+00:00,
disbursed_time,668809,5719,2017-02-01 08:00:00+00:00,2800,,,,,,,
funded_time,622874,498007,2016-09-21 13:03:24+00:00,33,,,,,,,
term_in_months,671205.0,,,,13.739021610387288,1.0,8.0,13.0,14.0,158.0,8.598919487012761
lender_count,671205.0,,,,20.590922296466804,0.0,7.0,13.0,24.0,2986.0,28.459550648211255
tags,499789,86719,user_favorite,27088,,,,,,,
borrower_genders,666984,11298,female,426502,,,,,,,
repayment_interval,671205,4,monthly,342717,,,,,,,
date,671205,1298,2017-03-20,1308,,,,,,,
posted_year,671205.0,,,,2015.3855841359941,2014.0,2014.0,2015.0,2016.0,2017.0,1.0523273503996282
